,Provincias,Ramas de actividad,periodo,Total,id
1123,Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4.029.182,34
1124,Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,4.410.268,34
1125,Palencia,"A. Agricultura, ganadería, silvicultura y pesca",2021,348.625,34
1126,Palencia,"A. Agricultura, ganadería, silvicultura y pesca",2020,278.063,34
1127,Palencia,"A. Agricultura, ganadería, silvicultura y pesca",2019,230.828,34
1128,Palencia,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.089.346,34
1129,Palencia,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.037.431,34
1130,Palencia,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.200.768,34
1131,Palencia,C. - De las cuales: Industria manufacturera,2021,934.598,34
1132,Palencia,C. - De las cuales: Industria manufacturera,2020,952.127,34
1133,Palencia,C. - De las cuales: Industria manufacturera,2019,1.057.584,34
1134,Palencia,F. Construcción,2021,195.647,34
1135,Palencia,F. Construcción,2020,197.343,34
1136,Palencia,F. Construcción,2019,206.840,34
1137,Palencia,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,616.051,34
1138,Palencia,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,542.423,34
1139,Palencia,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,671.756,34
1140,Palencia,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,727.306,34
1141,Palencia,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,704.338,34
1142,Palencia,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,732.983,34
1143,Palencia,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,916.807,34
1144,Palencia,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,916.992,34
1145,Palencia,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,956.721,34
1146,Palencia,Valor añadido bruto total,2021,3.893.782,34
1147,Palencia,Valor añadido bruto total,2020,3.676.590,34
1148,Palencia,Valor añadido bruto total,2019,3.999.896,34
