,Provincias,Ramas de actividad,periodo,Total,id
0,Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8.663.814,02
1,Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7.855.556,02
2,Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,8.475.070,02
3,Albacete,"A. Agricultura, ganadería, silvicultura y pesca",2021,884.324,02
4,Albacete,"A. Agricultura, ganadería, silvicultura y pesca",2020,768.976,02
5,Albacete,"A. Agricultura, ganadería, silvicultura y pesca",2019,791.464,02
6,Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.397.006,02
7,Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.194.438,02
8,Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.207.915,02
9,Albacete,C. - De las cuales: Industria manufacturera,2021,1.018.831,02
10,Albacete,C. - De las cuales: Industria manufacturera,2020,910.902,02
11,Albacete,C. - De las cuales: Industria manufacturera,2019,918.972,02
12,Albacete,F. Construcción,2021,465.911,02
13,Albacete,F. Construcción,2020,415.182,02
14,Albacete,F. Construcción,2019,497.842,02
15,Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1.559.382,02
16,Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1.341.669,02
17,Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1.646.811,02
18,Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,1.440.261,02
19,Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1.392.792,02
20,Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,1.389.258,02
21,Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2.091.603,02
22,Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2.055.063,02
23,Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2.153.181,02
24,Albacete,Valor añadido bruto total,2021,7.838.487,02
25,Albacete,Valor añadido bruto total,2020,7.168.120,02
26,Albacete,Valor añadido bruto total,2019,7.686.471,02
27,Albacete,Impuestos netos sobre los productos,2021,825.327,02
28,Albacete,Impuestos netos sobre los productos,2020,687.436,02
29,Albacete,Impuestos netos sobre los productos,2019,788.599,02
30,Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8.663.814,02
31,Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7.855.556,02
32,Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,8.475.070,02
33,Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,37.279.735,03
34,Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,33.979.911,03
35,Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,37.366.493,03
36,Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",2021,547.312,03
37,Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",2020,645.872,03
38,Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",2019,576.207,03
39,Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3.627.964,03
40,Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3.166.272,03
41,Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3.280.477,03
42,Alicante/Alacant,C. - De las cuales: Industria manufacturera,2021,2.916.222,03
43,Alicante/Alacant,C. - De las cuales: Industria manufacturera,2020,2.559.700,03
44,Alicante/Alacant,C. - De las cuales: Industria manufacturera,2019,2.686.800,03
45,Alicante/Alacant,F. Construcción,2021,2.556.047,03
46,Alicante/Alacant,F. Construcción,2020,2.436.323,03
47,Alicante/Alacant,F. Construcción,2019,2.867.928,03
48,Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,9.851.680,03
49,Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,8.362.099,03
50,Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,10.227.248,03
51,Alicante/Alacant,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,8.929.332,03
52,Alicante/Alacant,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,8.549.617,03
53,Alicante/Alacant,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,8.710.933,03
54,Alicante/Alacant,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,8.216.082,03
55,Alicante/Alacant,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,7.846.163,03
56,Alicante/Alacant,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,8.226.777,03
57,Alicante/Alacant,Valor añadido bruto total,2021,33.728.417,03
58,Alicante/Alacant,Valor añadido bruto total,2020,31.006.346,03
59,Alicante/Alacant,Valor añadido bruto total,2019,33.889.570,03
60,Alicante/Alacant,Impuestos netos sobre los productos,2021,3.551.318,03
61,Alicante/Alacant,Impuestos netos sobre los productos,2020,2.973.565,03
62,Alicante/Alacant,Impuestos netos sobre los productos,2019,3.476.923,03
63,Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,37.279.735,03
64,Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,33.979.911,03
65,Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,37.366.493,03
66,Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,15.659.622,04
67,Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14.607.070,04
68,Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,15.813.933,04
69,Almería,"A. Agricultura, ganadería, silvicultura y pesca",2021,2.443.690,04
70,Almería,"A. Agricultura, ganadería, silvicultura y pesca",2020,2.519.276,04
71,Almería,"A. Agricultura, ganadería, silvicultura y pesca",2019,2.400.114,04
72,Almería,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.348.695,04
73,Almería,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.302.726,04
74,Almería,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.416.242,04
75,Almería,C. - De las cuales: Industria manufacturera,2021,1.020.119,04
76,Almería,C. - De las cuales: Industria manufacturera,2020,1.011.494,04
77,Almería,C. - De las cuales: Industria manufacturera,2019,996.328,04
78,Almería,F. Construcción,2021,723.957,04
79,Almería,F. Construcción,2020,648.214,04
80,Almería,F. Construcción,2019,774.405,04
81,Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,3.793.774,04
82,Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,3.232.834,04
83,Almería,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,4.017.874,04
84,Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2.816.431,04
85,Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.687.981,04
86,Almería,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.726.384,04
87,Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3.041.318,04
88,Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2.937.782,04
89,Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3.007.440,04
90,Almería,Valor añadido bruto total,2021,14.167.865,04
91,Almería,Valor añadido bruto total,2020,13.328.813,04
92,Almería,Valor añadido bruto total,2019,14.342.459,04
93,Almería,Impuestos netos sobre los productos,2021,1.491.757,04
94,Almería,Impuestos netos sobre los productos,2020,1.278.257,04
95,Almería,Impuestos netos sobre los productos,2019,1.471.474,04
96,Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,15.659.622,04
97,Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14.607.070,04
98,Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,15.813.933,04
99,Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.939.983,01
100,Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.731.451,01
101,Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.813.401,01
102,Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",2021,201.362,01
103,Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",2020,189.557,01
104,Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",2019,212.839,01
105,Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3.832.143,01
106,Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3.388.952,01
107,Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3.781.684,01
108,Araba/Álava,C. - De las cuales: Industria manufacturera,2021,3.473.573,01
109,Araba/Álava,C. - De las cuales: Industria manufacturera,2020,3.145.920,01
110,Araba/Álava,C. - De las cuales: Industria manufacturera,2019,3.588.690,01
111,Araba/Álava,F. Construcción,2021,400.677,01
112,Araba/Álava,F. Construcción,2020,429.096,01
113,Araba/Álava,F. Construcción,2019,518.235,01
114,Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1.946.392,01
115,Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1.669.800,01
116,Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1.961.560,01
117,Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2.434.844,01
118,Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.327.165,01
119,Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.392.190,01
120,Araba/Álava,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2.891.885,01
121,Araba/Álava,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2.700.268,01
122,Araba/Álava,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2.754.616,01
123,Araba/Álava,Valor añadido bruto total,2021,11.707.303,01
124,Araba/Álava,Valor añadido bruto total,2020,10.704.838,01
125,Araba/Álava,Valor añadido bruto total,2019,11.621.124,01
126,Araba/Álava,Impuestos netos sobre los productos,2021,1.232.680,01
127,Araba/Álava,Impuestos netos sobre los productos,2020,1.026.613,01
128,Araba/Álava,Impuestos netos sobre los productos,2019,1.192.277,01
129,Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.939.983,01
130,Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.731.451,01
131,Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.813.401,01
132,Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23.549.659,33
133,Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21.319.148,33
134,Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,23.711.269,33
135,Asturias,"A. Agricultura, ganadería, silvicultura y pesca",2021,306.301,33
136,Asturias,"A. Agricultura, ganadería, silvicultura y pesca",2020,284.291,33
137,Asturias,"A. Agricultura, ganadería, silvicultura y pesca",2019,307.966,33
138,Asturias,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,4.572.369,33
139,Asturias,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3.762.056,33
140,Asturias,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,4.239.988,33
141,Asturias,C. - De las cuales: Industria manufacturera,2021,3.118.701,33
142,Asturias,C. - De las cuales: Industria manufacturera,2020,2.508.510,33
143,Asturias,C. - De las cuales: Industria manufacturera,2019,2.902.969,33
144,Asturias,F. Construcción,2021,1.392.272,33
145,Asturias,F. Construcción,2020,1.314.621,33
146,Asturias,F. Construcción,2019,1.521.189,33
147,Asturias,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,4.867.794,33
148,Asturias,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,4.189.893,33
149,Asturias,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,5.208.875,33
150,Asturias,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,5.075.288,33
151,Asturias,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4.877.413,33
152,Asturias,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,5.013.066,33
153,Asturias,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,5.092.263,33
154,Asturias,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,5.025.246,33
155,Asturias,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,5.213.870,33
156,Asturias,Valor añadido bruto total,2021,21.306.287,33
157,Asturias,Valor añadido bruto total,2020,19.453.520,33
158,Asturias,Valor añadido bruto total,2019,21.504.954,33
159,Asturias,Impuestos netos sobre los productos,2021,2.243.372,33
160,Asturias,Impuestos netos sobre los productos,2020,1.865.628,33
161,Asturias,Impuestos netos sobre los productos,2019,2.206.315,33
162,Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23.549.659,33
163,Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21.319.148,33
164,Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,23.711.269,33
165,Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3.300.110,05
166,Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3.076.404,05
167,Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,3.321.394,05
168,Ávila,"A. Agricultura, ganadería, silvicultura y pesca",2021,141.202,05
169,Ávila,"A. Agricultura, ganadería, silvicultura y pesca",2020,141.187,05
170,Ávila,"A. Agricultura, ganadería, silvicultura y pesca",2019,104.443,05
171,Ávila,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,324.441,05
172,Ávila,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,264.401,05
173,Ávila,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,281.793,05
174,Ávila,C. - De las cuales: Industria manufacturera,2021,251.439,05
175,Ávila,C. - De las cuales: Industria manufacturera,2020,216.637,05
176,Ávila,C. - De las cuales: Industria manufacturera,2019,234.660,05
177,Ávila,F. Construcción,2021,266.759,05
178,Ávila,F. Construcción,2020,264.628,05
179,Ávila,F. Construcción,2019,272.458,05
180,Ávila,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,645.518,05
181,Ávila,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,556.041,05
182,Ávila,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,732.257,05
183,Ávila,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,678.479,05
184,Ávila,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,651.021,05
185,Ávila,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,660.029,05
186,Ávila,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,929.338,05
187,Ávila,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,929.911,05
188,Ávila,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,961.361,05
189,Ávila,Valor añadido bruto total,2021,2.985.737,05
190,Ávila,Valor añadido bruto total,2020,2.807.189,05
191,Ávila,Valor añadido bruto total,2019,3.012.341,05
192,Ávila,Impuestos netos sobre los productos,2021,314.373,05
193,Ávila,Impuestos netos sobre los productos,2020,269.215,05
194,Ávila,Impuestos netos sobre los productos,2019,309.053,05
195,Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3.300.110,05
196,Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3.076.404,05
197,Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,3.321.394,05
198,Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.723.211,06
199,Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.638.254,06
200,Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.490.571,06
201,Badajoz,"A. Agricultura, ganadería, silvicultura y pesca",2021,1.114.803,06
202,Badajoz,"A. Agricultura, ganadería, silvicultura y pesca",2020,828.169,06
203,Badajoz,"A. Agricultura, ganadería, silvicultura y pesca",2019,957.944,06
204,Badajoz,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.424.693,06
205,Badajoz,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.284.940,06
206,Badajoz,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.331.190,06
207,Badajoz,C. - De las cuales: Industria manufacturera,2021,989.504,06
208,Badajoz,C. - De las cuales: Industria manufacturera,2020,880.772,06
209,Badajoz,C. - De las cuales: Industria manufacturera,2019,894.518,06
210,Badajoz,F. Construcción,2021,712.482,06
211,Badajoz,F. Construcción,2020,656.761,06
212,Badajoz,F. Construcción,2019,766.514,06
213,Badajoz,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2.239.124,06
214,Badajoz,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1.925.604,06
215,Badajoz,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,2.274.580,06
216,Badajoz,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2.390.063,06
217,Badajoz,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.284.369,06
218,Badajoz,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.278.521,06
219,Badajoz,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3.630.016,06
220,Badajoz,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3.639.953,06
221,Badajoz,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3.719.584,06
222,Badajoz,Valor añadido bruto total,2021,11.511.181,06
223,Badajoz,Valor añadido bruto total,2020,10.619.796,06
224,Badajoz,Valor añadido bruto total,2019,11.328.333,06
225,Badajoz,Impuestos netos sobre los productos,2021,1.212.030,06
226,Badajoz,Impuestos netos sobre los productos,2020,1.018.458,06
227,Badajoz,Impuestos netos sobre los productos,2019,1.162.238,06
228,Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.723.211,06
229,Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.638.254,06
230,Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.490.571,06
231,"Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30.031.668,07
232,"Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,26.198.090,07
233,"Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,33.935.302,07
234,"Balears, Illes","A. Agricultura, ganadería, silvicultura y pesca",2021,154.128,07
235,"Balears, Illes","A. Agricultura, ganadería, silvicultura y pesca",2020,148.537,07
236,"Balears, Illes","A. Agricultura, ganadería, silvicultura y pesca",2019,181.850,07
237,"Balears, Illes","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.806.386,07
238,"Balears, Illes","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.674.865,07
